DISCRETE MATHEMATICS,FUND. OF DATA STRUCTURES,OBJECT ORIENTED PROGRAMMING,COMPUTER GRAPHICS,DIGITAL ELEC. & LOGIC DESIGN,DATA STUCTURES LABORATORY,OOP & COMP. GRAPHICS LAB.,DIGITAL ELEC. LABORATORY,BUSINESS COMMUNICATION SKILLS,HUMANITY & SOCIAL SCIENCE,AUDIT COURSE,ENGINEERING MATHEMATICS III,ENGINEERING MATHEMATICS III,DATA STRUCTURES & ALGO.,SOFTWARE ENGINEERING,MICROPROCESSOR,PRINCIPLES OF PROG. LANG.,DATA STRUCTURES & ALGO. LAB.,MICROPROCESSOR LABORATORY,PROJECT BASED LEARNING II,CODE OF CONDUCT,AUDIT COURSE,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA
27,27,27,27,30,14,18,10,10,7,0,27,9,21,21,21,24,16,9,20,9,0,197.0,8.955,177.0,8.045,44,8.50
24,27,24,27,30,18,16,9,9,9,0,0,7,15,15,0,12,0,0,18,7,0,193.0,8.773,74.0,3.364,35,0
30,30,30,30,30,18,18,10,10,9,0,30,9,18,18,24,21,18,8,18,10,0,215.0,9.773,174.0,7.909,44,8.84
30,30,30,27,30,18,16,9,9,9,0,24,7,15,21,18,18,12,8,16,7,0,208.0,9.455,146.0,6.636,44,8.05
30,30,30,30,30,18,18,10,9,9,0,24,9,21,24,24,27,18,10,18,10,0,214.0,9.727,185.0,8.409,44,9.07
27,24,27,27,30,18,16,10,10,8,0,21,8,0,12,12,21,14,9,18,10,0,197.0,8.955,125.0,5.682,41,0
30,30,30,27,30,14,18,9,10,10,0,27,9,18,21,21,18,18,9,18,9,0,208.0,9.455,168.0,7.636,44,8.55
30,30,30,30,30,18,16,9,10,9,0,24,9,21,24,24,27,20,9,20,10,0,212.0,9.636,188.0,8.545,44,9.09
30,30,30,30,30,20,18,9,10,8,0,24,8,18,12,18,21,18,9,18,9,0,215.0,9.773,155.0,7.045,44,8.41
30,30,27,30,30,14,16,10,9,9,0,21,7,18,21,21,18,14,8,20,8,0,205.0,9.318,156.0,7.091,44,8.20
30,27,30,30,30,16,16,10,9,9,0,27,10,21,18,24,24,14,7,18,10,0,207.0,9.409,173.0,7.864,44,8.64
30,30,30,30,30,20,18,10,10,10,0,30,9,24,27,27,21,20,10,20,7,0,218.0,9.909,195.0,8.864,44,9.39
30,27,27,27,27,18,16,10,9,8,0,24,7,15,21,21,21,16,8,20,9,0,199.0,9.045,162.0,7.364,44,8.20
30,30,30,30,30,18,18,9,10,10,0,30,10,27,21,24,21,20,10,18,9,0,215.0,9.773,190.0,8.636,44,9.20
30,30,30,30,30,20,18,10,10,10,0,30,9,21,24,21,18,20,10,20,10,0,218.0,9.909,183.0,8.318,44,9.11
30,30,30,30,30,16,18,9,10,9,0,30,10,15,15,21,24,20,9,18,10,0,212.0,9.636,172.0,7.818,44,8.73
27,27,30,27,30,18,18,10,10,10,0,15,7,12,18,0,15,14,7,18,9,0,207.0,9.409,115.0,5.227,41,0
