,DISCRETE MATHEMATICS,FUND. OF DATA STRUCTURES,OBJECT ORIENTED PROGRAMMING,COMPUTER GRAPHICS,DIGITAL ELEC. & LOGIC DESIGN,DATA STUCTURES LABORATORY,OOP & COMP. GRAPHICS LAB.,DIGITAL ELEC. LABORATORY,BUSINESS COMMUNICATION SKILLS,HUMANITY & SOCIAL SCIENCE,AUDIT COURSE,ENGINEERING MATHEMATICS III,ENGINEERING MATHEMATICS III.1,DATA STRUCTURES & ALGO.,SOFTWARE ENGINEERING,MICROPROCESSOR,PRINCIPLES OF PROG. LANG.,DATA STRUCTURES & ALGO. LAB.,MICROPROCESSOR LABORATORY,PROJECT BASED LEARNING II,CODE OF CONDUCT,AUDIT COURSE.1,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA,SEM_3_INTERNAL,SEM_4_INTERNAL,SEM_3_EXTERNAL,SEM_4_EXTERNAL
92,1.0,1.0,1.0,1.0,1.0,0.8,0.9,0.9,0.9,0.9,0,0.9,0.7,0.9,0.6,0.6,0.7,0.7,0.7,0.9,0.7,0,211.0,0.9591,164.0,0.7455,1.0,0.852,0.8714285714285714,0.7571428571428571,1.0,0.74
93,1.0,1.0,1.0,0.8,1.0,0.9,0.7,1.0,0.9,0.9,0,1.0,0.7,0.7,0.5,0.7,0.4,0.7,1.0,0.9,0.9,0,204.0,0.9273,157.0,0.7136,1.0,0.82,0.8571428571428571,0.8285714285714286,0.96,0.66
94,0.9,0.9,0.9,0.9,1.0,0.9,0.6,0.9,0.9,0.9,0,0.7,0.9,0.5,0.6,0.7,0.7,0.7,0.9,0.9,0.8,0,195.0,0.8864000000000001,154.0,0.7,1.0,0.7929999999999999,0.8142857142857143,0.8285714285714286,0.92,0.64
95,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,0,1.0,0.9,0.7,0.8,0.8,0.7,0.8,0.9,0.9,0.9,0,216.0,0.9818,181.0,0.8227,1.0,0.9019999999999999,0.9428571428571428,0.8714285714285714,1.0,0.8
96,0.9,0.9,0.8,0.8,0.8,0.7,0.9,0.9,1.0,0.9,0,0.7,0.7,0.4,0.4,0.6,0.4,0.8,0.7,1.0,0.8,0,186.0,0.8455,133.0,0.6045,1.0,0.725,0.8571428571428571,0.8285714285714286,0.84,0.5
97,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.9,0.9,0.9,0,0.6,0.9,0.5,0.7,0.7,0.7,0.8,0.9,1.0,1.0,0,211.0,0.9591,160.0,0.7273,1.0,0.843,0.8714285714285714,0.9142857142857143,1.0,0.64
98,0.8,0.8,0.8,0.8,1.0,0.7,0.8,0.9,1.0,0.9,0,0.5,0.9,0.4,0.6,0.6,0.4,0.0,0.8,1.0,1.0,0,184.0,0.8364,122.0,0.5545,0.9545454545454546,0.0,0.8285714285714286,0.6714285714285714,0.84,0.5
99,1.0,1.0,1.0,1.0,1.0,0.8,0.9,0.9,0.9,0.8,0,0.8,0.7,0.5,0.6,0.4,0.6,0.6,0.7,0.8,0.9,0,210.0,0.9545,138.0,0.6273,1.0,0.791,0.8571428571428571,0.7285714285714285,1.0,0.58
100,1.0,0.9,0.9,0.9,1.0,0.8,0.8,0.9,0.9,1.0,0,0.8,0.8,0.7,0.7,0.6,0.7,1.0,0.9,1.0,0.9,0,201.0,0.9136,171.0,0.7773,1.0,0.845,0.8571428571428571,0.9428571428571428,0.94,0.7
101,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0,1.0,0.9,0.9,0.8,0.8,0.8,0.9,0.9,1.0,1.0,0,218.0,0.9909000000000001,195.0,0.8864000000000001,1.0,0.9390000000000001,0.9714285714285714,0.9428571428571428,1.0,0.86
102,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.9,0,1.0,0.9,0.8,0.7,0.9,0.8,1.0,0.9,0.9,1.0,0,217.0,0.9864,192.0,0.8727,1.0,0.93,0.9571428571428572,0.9428571428571428,1.0,0.84
